id,created_at,name,url,logo,updated_at
4,2025-07-31 15:20:54.327077+00,Astro,astrocafe.es,https://www.google.com/s2/favicons?domain=astrocafe.es,2025-08-12 11:10:49.994614+00
5,2025-07-31 15:20:54.327077+00,Hidden,https://hiddencoffeeroasters.com/producto/opita-colombia/,https://logo.clearbit.com/hiddencoffeeroasters.com?size=128&format=png,2025-08-12 11:10:49.994614+00
6,2025-07-31 15:20:54.327077+00,Ineffable,ineffablecoffee.com,https://www.google.com/s2/favicons?domain=ineffablecoffee.com,2025-08-12 11:10:49.994614+00
7,2025-07-31 15:20:54.327077+00,Nomad,nomadcoffee.es,https://logo.clearbit.com/nomadcoffee.es?size=128&format=png,2025-08-12 11:10:49.994614+00
8,2025-07-31 15:20:54.327077+00,Right Side,https://www.rightsidecoffee.com/products/maricela-joven-espresso,https://logo.clearbit.com/www.rightsidecoffee.com?size=128&format=png,2025-08-14 10:13:26.925+00
9,2025-07-31 15:20:54.327077+00,Tramuntana,https://mareterracoffee.com/es/cafe-verde/fulu-aha_pro3895/,https://logo.clearbit.com/mareterracoffee.com?size=128&format=png,2025-08-12 11:10:49.994614+00
12,2025-08-01 14:34:58.139927+00,SlowMov,https://slowmov.com/,https://logo.clearbit.com/slowmov.com?size=128&format=png,2025-08-12 11:10:49.994614+00
35,2025-08-18 15:10:23.990129+00,Mistral,https://mistralcoffee.com/,https://logo.clearbit.com/mistralcoffee.com?size=128&format=png,2025-08-21 12:38:53.327+00
36,2025-08-18 19:04:07.174869+00,Madness,https://madnesscoffee.com/,https://logo.clearbit.com/madnesscoffee.com?size=128&format=png,2025-08-18 19:04:07.174869+00
37,2025-08-18 19:04:54.785196+00,Badi,https://badi.coffee/,https://logo.clearbit.com/badi.coffee?size=128&format=png,2025-09-05 10:07:45.575+00
40,2025-09-04 14:26:55.002618+00,Tornado,https://www.tornadocafe.es/,https://logo.clearbit.com/www.tornadocafe.es?size=128&format=png,2025-09-04 14:26:55.002618+00
41,2025-10-16 10:35:25.247493+00,Koyo,https://koyospecialitycoffees.com/,https://logo.clearbit.com/koyospecialitycoffees.com?size=128&format=png,2025-10-16 10:35:25.247493+00
42,2025-10-16 10:39:47.842506+00,Guma,https://gumacoffee.com/,https://logo.clearbit.com/gumacoffee.com?size=128&format=png,2025-10-16 10:39:47.842506+00
43,2025-10-16 10:43:23.05047+00,Mundo Novo,https://mundonovocoffee.com/,https://logo.clearbit.com/mundonovocoffee.com?size=128&format=png,2025-10-16 10:43:23.05047+00
44,2025-10-16 10:47:56.729311+00,Curador,https://curador.es/,https://logo.clearbit.com/curador.es?size=128&format=png,2025-10-16 10:47:56.729311+00
45,2026-01-26 14:04:10.65677+00,Sinaz,https://sinaz.coffee,https://logo.clearbit.com/sinaz.coffee?size=128&format=png,2026-01-26 14:04:10.65677+00